model,error_num,value
SIS,1,0.777811
APMISRR,1,0.921097
TolerMIS,1,0.952377
SIS,1,0.77908
APMISRR,1,0.9336
TolerMIS,1,0.964345
SIS,1,0.779462
APMISRR,1,0.935934
TolerMIS,1,0.966479
SIS,1,0.778736
APMISRR,1,0.927651
TolerMIS,1,0.958566
SIS,1,0.779024
APMISRR,1,0.929924
TolerMIS,1,0.960705
SIS,1,0.77908
APMISRR,1,0.9336
TolerMIS,1,0.964345
SIS,1,0.777811
APMISRR,1,0.921097
TolerMIS,1,0.952377
SIS,1,0.779899
APMISRR,1,0.942066
TolerMIS,1,0.972401
SIS,1,0.776378
APMISRR,1,0.910628
TolerMIS,1,0.941996
SIS,1,0.77997
APMISRR,1,0.944048
TolerMIS,1,0.974319
SIS,1,0.777015
APMISRR,1,0.91298
TolerMIS,1,0.944465
SIS,1,0.779462
APMISRR,1,0.935934
TolerMIS,1,0.966479
SIS,1,0.777903
APMISRR,1,0.924677
TolerMIS,1,0.956011
SIS,1,0.779365
APMISRR,1,0.937642
TolerMIS,1,0.96823
SIS,1,0.781522
APMISRR,1,0.925488
TolerMIS,1,0.955719
SIS,1,0.778298
APMISRR,1,0.921485
TolerMIS,1,0.952592
SIS,1,0.781271
APMISRR,1,0.9349
TolerMIS,1,0.965028
SIS,1,0.780035
APMISRR,1,0.931856
TolerMIS,1,0.962426
SIS,1,0.780657
APMISRR,1,0.940392
TolerMIS,1,0.970598
SIS,1,0.777811
APMISRR,1,0.919133
TolerMIS,1,0.950462
SIS,1,0.780035
APMISRR,1,0.929887
TolerMIS,1,0.960504
SIS,1,0.780657
APMISRR,1,0.913095
TolerMIS,1,0.943949
SIS,1,0.77908
APMISRR,1,0.937599
TolerMIS,1,0.968248
SIS,1,0.781522
APMISRR,1,0.931285
TolerMIS,1,0.961389
SIS,1,0.778988
APMISRR,1,0.929703
TolerMIS,1,0.960521
SIS,1,0.781522
APMISRR,1,0.927414
TolerMIS,1,0.957602
SIS,1,0.781539
APMISRR,1,0.916497
TolerMIS,1,0.946371
SIS,1,0.779867
APMISRR,1,0.912736
TolerMIS,1,0.943745
SIS,1,0.780035
APMISRR,1,0.927926
TolerMIS,1,0.958589
SIS,1,0.777739
APMISRR,1,0.937339
TolerMIS,1,0.968124
SIS,2,0.752407
APMISRR,2,0.894858
TolerMIS,2,0.927087
SIS,2,0.753599
APMISRR,2,0.91998
TolerMIS,2,0.950651
SIS,2,0.753518
APMISRR,2,0.924072
TolerMIS,2,0.954591
SIS,2,0.753144
APMISRR,2,0.90728
TolerMIS,2,0.938714
SIS,2,0.751921
APMISRR,2,0.910697
TolerMIS,2,0.941917
SIS,2,0.752034
APMISRR,2,0.919206
TolerMIS,2,0.95012
SIS,2,0.752743
APMISRR,2,0.894626
TolerMIS,2,0.926922
SIS,2,0.755079
APMISRR,2,0.937872
TolerMIS,2,0.967068
SIS,2,0.756512
APMISRR,2,0.878435
TolerMIS,2,0.910323
SIS,2,0.753838
APMISRR,2,0.940999
TolerMIS,2,0.970558
SIS,2,0.755932
APMISRR,2,0.881597
TolerMIS,2,0.913573
SIS,2,0.755821
APMISRR,2,0.925779
TolerMIS,2,0.955234
SIS,2,0.755739
APMISRR,2,0.906229
TolerMIS,2,0.936119
SIS,2,0.756578
APMISRR,2,0.930347
TolerMIS,2,0.959421
SIS,2,0.753196
APMISRR,2,0.899292
TolerMIS,2,0.931026
SIS,2,0.781117
APMISRR,2,0.920579
TolerMIS,2,0.951142
SIS,2,0.754418
APMISRR,2,0.920386
TolerMIS,2,0.950855
SIS,2,0.753047
APMISRR,2,0.915673
TolerMIS,2,0.946363
SIS,2,0.755446
APMISRR,2,0.93307
TolerMIS,2,0.962659
SIS,2,0.778955
APMISRR,2,0.916984
TolerMIS,2,0.948277
SIS,2,0.754728
APMISRR,2,0.912942
TolerMIS,2,0.943019
SIS,2,0.75726
APMISRR,2,0.879065
TolerMIS,2,0.910712
SIS,2,0.74945
APMISRR,2,0.92628
TolerMIS,2,0.957142
SIS,2,0.756756
APMISRR,2,0.91438
TolerMIS,2,0.943867
SIS,2,0.754973
APMISRR,2,0.912498
TolerMIS,2,0.943156
SIS,2,0.755196
APMISRR,2,0.904498
TolerMIS,2,0.935591
SIS,2,0.754242
APMISRR,2,0.880815
TolerMIS,2,0.913238
SIS,2,0.755278
APMISRR,2,0.877863
TolerMIS,2,0.910111
SIS,2,0.750475
APMISRR,2,0.9049
TolerMIS,2,0.937378
SIS,2,0.754454
APMISRR,2,0.928737
TolerMIS,2,0.958725
SIS,3,0.727467
APMISRR,3,0.867266
TolerMIS,3,0.901603
SIS,3,0.727936
APMISRR,3,0.904684
TolerMIS,3,0.936172
SIS,3,0.72573
APMISRR,3,0.909423
TolerMIS,3,0.94097
SIS,3,0.727582
APMISRR,3,0.885473
TolerMIS,3,0.918345
SIS,3,0.729526
APMISRR,3,0.893987
TolerMIS,3,0.924747
SIS,3,0.73028
APMISRR,3,0.905941
TolerMIS,3,0.936615
SIS,3,0.729306
APMISRR,3,0.868309
TolerMIS,3,0.902093
SIS,3,0.731693
APMISRR,3,0.933091
TolerMIS,3,0.961295
SIS,3,0.732392
APMISRR,3,0.847902
TolerMIS,3,0.877615
SIS,3,0.728555
APMISRR,3,0.937751
TolerMIS,3,0.966498
SIS,3,0.754624
APMISRR,3,0.877841
TolerMIS,3,0.911014
SIS,3,0.728638
APMISRR,3,0.91144
TolerMIS,3,0.942058
SIS,3,0.7299
APMISRR,3,0.881074
TolerMIS,3,0.913731
SIS,3,0.72928
APMISRR,3,0.918874
TolerMIS,3,0.948396
SIS,3,0.72985
APMISRR,3,0.875063
TolerMIS,3,0.907998
SIS,3,0.728845
APMISRR,3,0.870504
TolerMIS,3,0.902135
SIS,3,0.729764
APMISRR,3,0.905541
TolerMIS,3,0.936441
SIS,3,0.73013
APMISRR,3,0.899661
TolerMIS,3,0.930942
SIS,3,0.728856
APMISRR,3,0.924315
TolerMIS,3,0.954149
SIS,3,0.72718
APMISRR,3,0.860792
TolerMIS,3,0.895814
SIS,3,0.72899
APMISRR,3,0.892331
TolerMIS,3,0.924507
SIS,3,0.729496
APMISRR,3,0.840227
TolerMIS,3,0.875806
SIS,3,0.730352
APMISRR,3,0.918927
TolerMIS,3,0.948599
SIS,3,0.730584
APMISRR,3,0.893511
TolerMIS,3,0.925132
SIS,3,0.730276
APMISRR,3,0.893481
TolerMIS,3,0.925159
SIS,3,0.725672
APMISRR,3,0.878012
TolerMIS,3,0.911815
SIS,3,0.728921
APMISRR,3,0.845039
TolerMIS,3,0.8806
SIS,3,0.7309
APMISRR,3,0.841044
TolerMIS,3,0.876302
SIS,3,0.731347
APMISRR,3,0.888226
TolerMIS,3,0.919926
SIS,3,0.725399
APMISRR,3,0.915167
TolerMIS,3,0.946766
SIS,4,0.702134
APMISRR,4,0.83746
TolerMIS,4,0.875447
SIS,4,0.70268
APMISRR,4,0.887905
TolerMIS,4,0.920897
SIS,4,0.700669
APMISRR,4,0.895095
TolerMIS,4,0.927877
SIS,4,0.703666
APMISRR,4,0.864854
TolerMIS,4,0.897986
SIS,4,0.705802
APMISRR,4,0.872959
TolerMIS,4,0.906418
SIS,4,0.707024
APMISRR,4,0.892371
TolerMIS,4,0.922528
SIS,4,0.707514
APMISRR,4,0.847626
TolerMIS,4,0.87852
SIS,4,0.728022
APMISRR,4,0.931216
TolerMIS,4,0.95997
SIS,4,0.703465
APMISRR,4,0.800825
TolerMIS,4,0.841669
SIS,4,0.728298
APMISRR,4,0.938175
TolerMIS,4,0.9665
SIS,4,0.707255
APMISRR,4,0.814594
TolerMIS,4,0.850175
SIS,4,0.702228
APMISRR,4,0.897781
TolerMIS,4,0.928658
SIS,4,0.705638
APMISRR,4,0.856439
TolerMIS,4,0.891542
SIS,4,0.705125
APMISRR,4,0.907616
TolerMIS,4,0.937971
SIS,4,0.701287
APMISRR,4,0.843826
TolerMIS,4,0.881696
SIS,4,0.702727
APMISRR,4,0.837867
TolerMIS,4,0.875621
SIS,4,0.705566
APMISRR,4,0.889973
TolerMIS,4,0.921839
SIS,4,0.70693
APMISRR,4,0.883805
TolerMIS,4,0.914586
SIS,4,0.705572
APMISRR,4,0.916691
TolerMIS,4,0.946101
SIS,4,0.702397
APMISRR,4,0.829934
TolerMIS,4,0.868415
SIS,4,0.703838
APMISRR,4,0.872632
TolerMIS,4,0.905182
SIS,4,0.705893
APMISRR,4,0.803156
TolerMIS,4,0.843139
SIS,4,0.703965
APMISRR,4,0.907087
TolerMIS,4,0.937194
SIS,4,0.704562
APMISRR,4,0.874206
TolerMIS,4,0.906177
SIS,4,0.701555
APMISRR,4,0.869537
TolerMIS,4,0.90467
SIS,4,0.703657
APMISRR,4,0.854448
TolerMIS,4,0.890455
SIS,4,0.706246
APMISRR,4,0.810302
TolerMIS,4,0.849687
SIS,4,0.706718
APMISRR,4,0.80742
TolerMIS,4,0.843652
SIS,4,0.727658
APMISRR,4,0.883393
TolerMIS,4,0.916712
SIS,4,0.70079
APMISRR,4,0.903689
TolerMIS,4,0.935695
